Genome	Completeness	Contamination	Strain heterogeneity	GUNC pass	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	# predicted genes	5S rRNA	23S rRNA	16S rRNA	# tRNA	# tRNA types
LB081.bin.56	91.45	4.7	28.57	True	2247441	0	232	232	13472	13472	9687	9687	42350	42350	69.7	1.22	93.8	2430	No	No	Yes	36	19
LB081.bin.57	70.45	2.76	25.0	True	1934281	0	345	345	5971	5971	5606	5606	43298	43298	69.1	1.19	94.84	2346	No	No	No	26	18
LB081.bin.58	43.7	6.84	81.82	True	4256892	0	703	703	6305	6305	6055	6055	39326	39326	53.8	1.37	92.18	4064	Yes	No	No	26	13
LB081.bin.59	58.59	43.89	9.52	True	4030820	0	1107	1107	3541	3541	3641	3641	11819	11819	71.4	1.59	94.55	4946	No	No	No	32	13
LB081.bin.6	40.75	2.59	0.0	False	1146262	0	324	324	3447	3447	3537	3537	8666	8666	65.3	1.66	91.53	1374	Yes	No	No	14	10
LB081.bin.60	83.09	2.23	0.0	True	2661724	0	223	223	16721	16721	11935	11935	62200	62200	69.2	1.45	94.11	2956	Yes	No	Yes	44	19
LB081.bin.61	0.0	0.0	0.0	True	458515	0	40	40	18118	18118	11462	11462	48464	48464	62.8	1.13	89.46	475	No	No	No	5	4
LB081.bin.7	85.3	25.66	10.94	True	7629776	0	344	344	38122	38122	22179	22179	153971	153971	68.5	1.86	92.49	7587	Yes	No	No	67	21
LB081.bin.8	58.0	2.78	66.67	True	2328117	0	327	327	8740	8740	7119	7119	48105	48105	71.2	1.43	92.11	2512	Yes	No	No	35	15
LB081.bin.9	82.7	71.3	7.38	False	12241728	0	3074	3074	3943	3943	3982	3982	21923	21923	62.6	1.46	92.29	13203	No	No	No	47	16
