user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
D023.bin.19.fa	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__JACPNS01;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__JACPNS01;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	10.42	11	0.7261655649403465	Genome has more than 83.3% of markers with multiple hits
D023.bin.2.fa	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (5.6%)
D023.bin.21.fa	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__BOG-931;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__BOG-931;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	90.23	11	0.9233728343295019	N/A
D023.bin.22.fa	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5704;f__UBA5704;g__UBA5704;s__	N/A	N/A	N/A	N/A	N/A	GCA_002420005.1	95.0	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5704;f__UBA5704;g__UBA5704;s__UBA5704 sp002420005	78.19	0.37	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5704;f__UBA5704;g__UBA5704;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	41.04	11	0.8446635621092081	N/A
D023.bin.23.fa	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	46.21	11	0.8146992754745208	Genome has more than 17.5% of markers with multiple hits
D023.bin.24.fa	d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Rokubacteriales;f__CSP1-6;g__AR31;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Rokubacteriales;f__CSP1-6;g__AR31;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_003221615.1, s__AR31 sp003221615, 95.0, 86.06, 0.77; GCA_003220495.1, s__AR31 sp003220495, 95.0, 84.61, 0.75; GCA_003220685.1, s__AR31 sp003220685, 95.0, 84.49, 0.74; GCA_003220535.1, s__AR31 sp003220535, 95.0, 82.02, 0.69; GCA_003221595.1, s__AR31 sp003221595, 95.0, 81.74, 0.56; GCA_003221515.1, s__AR31 sp003221515, 95.0, 81.18, 0.59; GCA_003221635.1, s__AR31 sp003221635, 95.0, 81.17, 0.55; GCA_003220435.1, s__AR31 sp003220435, 95.0, 81.15, 0.6; GCA_003221655.1, s__AR31 sp003221655, 95.0, 80.84, 0.5	57.63	11	0.9703227151625751	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
D023.bin.25.fa	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__2-12-FULL-66-21;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__2-12-FULL-66-21;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	26.35	11	0.842456892705764	N/A
D023.bin.26.fa	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__UBA10450;g__Udaeobacter;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__UBA10450;g__Udaeobacter;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_003218945.1, s__Udaeobacter sp003218945, 95.0, 79.15, 0.49; GCA_003219465.1, s__Udaeobacter sp003219465, 95.0, 79.13, 0.53; GCA_003219945.1, s__Udaeobacter sp003219945, 95.0, 78.58, 0.27; GCA_003217895.1, s__Udaeobacter sp003217895, 95.0, 77.69, 0.27; GCA_003218135.1, s__Udaeobacter sp003218135, 95.0, 77.65, 0.26; GCA_003219335.1, s__Udaeobacter sp003219335, 95.0, 77.48, 0.36; GCA_003220005.1, s__Udaeobacter sp003220005, 95.0, 77.4, 0.3; GCA_003219695.1, s__Udaeobacter sp003219695, 95.0, 77.35, 0.36; GCA_003219005.1, s__Udaeobacter sp003219005, 95.0, 77.26, 0.28; GCA_013372845.1, s__Udaeobacter sp013372845, 95.0, 77.15, 0.27; GCA_003218475.1, s__Udaeobacter sp003218475, 95.0, 77.11, 0.31; GCA_003221375.1, s__Udaeobacter sp003221375, 95.0, 77.08, 0.14; GCA_003219395.1, s__Udaeobacter sp003219395, 95.0, 77.02, 0.15; GCA_003218915.1, s__Udaeobacter sp003218915, 95.0, 76.94, 0.19; GCA_003219415.1, s__Udaeobacter sp003219415, 95.0, 76.94, 0.27; GCA_003218755.1, s__Udaeobacter sp003218755, 95.0, 76.91, 0.3; GCA_003217875.1, s__Udaeobacter sp003217875, 95.0, 76.87, 0.25; GCA_003221195.1, s__Udaeobacter sp003221195, 95.0, 76.87, 0.25; GCA_005887825.1, s__Udaeobacter sp005887825, 95.0, 76.84, 0.16; GCA_003218415.1, s__Udaeobacter sp003218415, 95.0, 76.83, 0.25; GCA_003218885.1, s__Udaeobacter sp003218885, 95.0, 76.79, 0.29; GCA_003218395.1, s__Udaeobacter sp003218395, 95.0, 76.74, 0.15; GCA_003218345.1, s__Udaeobacter sp003218345, 95.0, 76.73, 0.15; GCA_003218615.1, s__Udaeobacter sp003218615, 95.0, 76.71, 0.14; GCA_003218975.1, s__Udaeobacter sp003218975, 95.0, 76.69, 0.25; GCA_003218785.1, s__Udaeobacter sp003218785, 95.0, 76.57, 0.14; GCA_003219435.1, s__Udaeobacter sp003219435, 95.0, 76.53, 0.18; GCA_003218735.1, s__Udaeobacter sp003218735, 95.0, 76.51, 0.06; GCA_003217835.1, s__Udaeobacter sp003217835, 95.0, 76.44, 0.09; GCA_005887855.1, s__Udaeobacter sp005887855, 95.0, 76.4, 0.1; GCA_003218535.1, s__Udaeobacter sp003218535, 95.0, 76.3, 0.19; GCA_003219355.1, s__Udaeobacter sp003219355, 95.0, 76.06, 0.08; GCA_003218815.1, s__Udaeobacter sp003218815, 95.0, 75.97, 0.08	26.47	11	0.97056794695094	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
D023.bin.27.fa	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Bin65;f__Bin65;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Bin65;f__Bin65;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	17.61	11	0.8927282124865186	N/A
D023.bin.28.fa	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	36.91	11	0.5754169971741936	N/A
D023.bin.29.fa	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__IMCC26256;f__PALSA-610;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_003134555.1	95.0	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__IMCC26256;f__PALSA-610;g__PALSA-610;s__PALSA-610 sp003134555	77.33	0.36	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__IMCC26256;f__PALSA-610;g__;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	12.33	11	0.7885825707816141	N/A
D023.bin.3.fa	d__Bacteria;p__Chloroflexota;c__Limnocylindria;o__P2-11E;f__P2-11E;g__3-1-20CM-2-70-9;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Chloroflexota;c__Limnocylindria;o__P2-11E;f__P2-11E;g__3-1-20CM-2-70-9;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_005881085.1, s__3-1-20CM-2-70-9 sp005881085, 95.0, 80.67, 0.56; GCA_005880575.1, s__3-1-20CM-2-70-9 sp005880575, 95.0, 80.47, 0.54; GCA_005889295.1, s__3-1-20CM-2-70-9 sp005889295, 95.0, 80.26, 0.53; GCA_005882765.1, s__3-1-20CM-2-70-9 sp005882765, 95.0, 80.26, 0.54; GCA_005883775.1, s__3-1-20CM-2-70-9 sp005883775, 95.0, 80.21, 0.59; GCA_005889275.1, s__3-1-20CM-2-70-9 sp005889275, 95.0, 79.9, 0.53; GCA_005889445.1, s__3-1-20CM-2-70-9 sp005889445, 95.0, 79.6, 0.51; GCA_005881885.1, s__3-1-20CM-2-70-9 sp005881885, 95.0, 79.56, 0.52; GCA_001917735.1, s__3-1-20CM-2-70-9 sp001917735, 95.0, 79.55, 0.48; GCA_005879975.1, s__3-1-20CM-2-70-9 sp005879975, 95.0, 79.5, 0.48; GCA_005889075.1, s__3-1-20CM-2-70-9 sp005889075, 95.0, 79.2, 0.48; GCA_005883625.1, s__3-1-20CM-2-70-9 sp001919195, 95.0, 79.18, 0.51	68.71	11	0.9532115701593138	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
D023.bin.30.fa	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira_F;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira_F;s__	ANI	classification based on placement in class-level tree	GCA_005239465.1, s__Nitrospira_F sp005239465, 95.0, 79.47, 0.47; GCA_016195505.1, s__Nitrospira_F sp016195505, 95.0, 78.48, 0.34; GCA_005793285.1, s__Nitrospira_F sp005793285, 95.0, 77.41, 0.18; GCA_015904045.1, s__Nitrospira_F sp015904045, 95.0, 77.3, 0.23; GCA_002083565.1, s__Nitrospira_F sp002083565, 95.0, 77.2, 0.24; GCA_002331335.1, s__Nitrospira_F sp002331335, 95.0, 77.17, 0.24; GCA_015903945.1, s__Nitrospira_F sp015903945, 95.0, 77.17, 0.21; GCA_015904075.1, s__Nitrospira_F sp015904075, 95.0, 77.11, 0.19; GCA_002451055.1, s__Nitrospira_F sp002451055, 95.0, 77.06, 0.2; GCF_001458775.1, s__Nitrospira_F nitrificans, 95.0, 77.0, 0.19; GCA_018242685.1, s__Nitrospira_F sp018242685, 95.0, 76.94, 0.15; GCA_016873455.1, s__Nitrospira_F sp016873455, 95.0, 76.93, 0.18; GCA_002083405.1, s__Nitrospira_F sp002083405, 95.0, 76.91, 0.27; GCA_016788465.1, s__Nitrospira_F sp016788465, 95.0, 76.89, 0.07; GCA_011331925.1, s__Nitrospira_F sp011331925, 95.0, 76.89, 0.15; GCA_012032965.1, s__Nitrospira_F sp012032965, 95.0, 76.86, 0.07; GCA_015904055.1, s__Nitrospira_F sp015904055, 95.0, 76.85, 0.17; GCA_016222925.1, s__Nitrospira_F sp016222925, 95.0, 76.83, 0.11; GCA_014058405.1, s__Nitrospira_F kreftii, 95.0, 76.67, 0.12; GCA_902500825.1, s__Nitrospira_F sp902500825, 95.0, 76.64, 0.13; GCA_002869845.2, s__Nitrospira_F sp002869845, 95.0, 76.63, 0.14; GCA_016873515.1, s__Nitrospira_F sp016873515, 95.0, 76.58, 0.13; GCA_011090425.1, s__Nitrospira_F sp011090425, 95.0, 76.56, 0.16; GCA_015903995.1, s__Nitrospira_F sp015903995, 95.0, 76.54, 0.15; GCA_902500805.1, s__Nitrospira_F sp902500805, 95.0, 76.53, 0.11; GCA_005116895.1, s__Nitrospira_F sp005116895, 95.0, 76.52, 0.11; GCF_001458695.1, s__Nitrospira_F inopinata, 95.0, 76.47, 0.16; GCA_018242765.1, s__Nitrospira_F sp018242765, 95.0, 76.46, 0.11; GCF_001458735.1, s__Nitrospira_F nitrosa, 95.0, 76.45, 0.1; GCA_002331625.1, s__Nitrospira_F sp002331625, 95.0, 76.44, 0.13; GCA_902500775.1, s__Nitrospira_F sp902500775, 95.0, 76.4, 0.13; GCA_018242725.1, s__Nitrospira_F sp018242725, 95.0, 76.33, 0.1; GCA_900696515.1, s__Nitrospira_F sp900696515, 95.0, 76.32, 0.13; GCA_902500755.1, s__Nitrospira_F sp902500755, 95.0, 76.32, 0.11; GCA_016715825.1, s__Nitrospira_F sp016715825, 95.0, 76.3, 0.09; GCA_002420115.1, s__Nitrospira_F sp002420115, 95.0, 76.28, 0.1; GCA_002083365.1, s__Nitrospira_F sp002083365, 95.0, 76.25, 0.17; GCA_902500705.1, s__Nitrospira_F sp902500705, 95.0, 76.22, 0.12; GCA_005116955.1, s__Nitrospira_F sp005116955, 95.0, 76.22, 0.14; GCA_005116965.1, s__Nitrospira_F sp005116965, 95.0, 76.21, 0.14; GCA_002254365.1, s__Nitrospira_F sp002254365, 95.0, 76.2, 0.11; GCA_005116745.1, s__Nitrospira_F sp005116745, 95.0, 76.18, 0.14; GCA_001464735.1, s__Nitrospira_F sp001464735, 95.0, 76.12, 0.14; GCA_902500745.1, s__Nitrospira_F sp902500745, 95.0, 75.95, 0.11	48.99	11	0.9133170274110773	N/A
D023.bin.31.fa	d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__PSRF01;s__	N/A	N/A	N/A	N/A	N/A	GCA_003175865.1	95.0	d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__PSRF01;s__PSRF01 sp003175865	76.53	0.06	d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__PSRF01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_013817595.1, s__PSRF01 sp013817595, 95.0, 76.72, 0.07; GCA_002427845.1, s__PSRF01 sp002427845, 95.0, 76.55, 0.09; GCA_013697915.1, s__PSRF01 sp013697915, 95.0, 76.34, 0.08; GCA_003488005.1, s__PSRF01 sp003488005, 95.0, 76.21, 0.09; GCA_013811945.1, s__PSRF01 sp013811945, 95.0, 76.15, 0.05; GCA_013812905.1, s__PSRF01 sp013812905, 95.0, 76.09, 0.06; GCA_014380365.1, s__PSRF01 sp014380365, 95.0, 76.02, 0.08	78.63	11	0.9434179082211267	N/A
D023.bin.32.fa	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Pseudolabrys;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Pseudolabrys;s__	ANI	classification based on placement in class-level tree	GCA_016185205.1, s__Pseudolabrys sp016185205, 95.0, 78.25, 0.32; GCA_016201085.1, s__Pseudolabrys sp016201085, 95.0, 77.85, 0.25; GCA_003133345.1, s__Pseudolabrys sp003133345, 95.0, 77.84, 0.26; GCA_009694265.1, s__Pseudolabrys sp009694265, 95.0, 77.73, 0.3; GCA_003152455.1, s__Pseudolabrys sp003152455, 95.0, 77.67, 0.29; GCA_903878085.1, s__Pseudolabrys sp903878085, 95.0, 77.65, 0.3; GCA_903885555.1, s__Pseudolabrys sp903885555, 95.0, 77.57, 0.27; GCF_003367395.1, s__Pseudolabrys taiwanensis, 95.0, 77.37, 0.27; GCA_903839845.1, s__Pseudolabrys sp903839845, 95.0, 77.3, 0.24; GCA_018242205.1, s__Pseudolabrys sp018242205, 95.0, 77.27, 0.2; GCA_903929045.1, s__Pseudolabrys sp903929045, 95.0, 77.17, 0.23; GCA_903892675.1, s__Pseudolabrys sp903892675, 95.0, 77.17, 0.19; GCF_001426945.1, s__Pseudolabrys sp001426945, 95.0, 77.16, 0.21; GCA_018240595.1, s__Pseudolabrys sp018240595, 95.0, 77.15, 0.23; GCA_001464835.1, s__Pseudolabrys sp001464835, 95.0, 77.13, 0.22; GCF_003367195.1, s__Pseudolabrys sp003367195, 95.0, 77.01, 0.2; GCF_005153485.1, s__Pseudolabrys sp005153485, 95.0, 76.99, 0.23; GCA_017849615.1, s__Pseudolabrys sp017849615, 95.0, 76.92, 0.25; GCA_001899285.1, s__Pseudolabrys sp001899285, 95.0, 76.91, 0.18; GCA_016124795.1, s__Pseudolabrys sp016124795, 95.0, 76.9, 0.23; GCA_019247925.1, s__Pseudolabrys sp019247925, 95.0, 76.86, 0.2; GCA_903891395.1, s__Pseudolabrys sp903891395, 95.0, 76.8, 0.2; GCA_019246455.1, s__Pseudolabrys sp019246455, 95.0, 76.77, 0.19	35.84	11	0.9809222620589904	Genome has more than 10.0% of markers with multiple hits
D023.bin.33.fa	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (4.6%)
D023.bin.34.fa	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__SCUD01;s__	N/A	N/A	N/A	N/A	N/A	GCA_016874295.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__SCUD01;s__SCUD01 sp016874295	82.1	0.58	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__SCUD01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_016882265.1, s__SCUD01 sp016882265, 95.0, 78.66, 0.36; GCA_004297335.1, s__SCUD01 sp004297335, 95.0, 78.34, 0.36; GCA_016844605.1, s__SCUD01 sp016844605, 95.0, 78.26, 0.31; GCA_009692245.1, s__SCUD01 sp009692245, 95.0, 78.13, 0.29	45.69	11	0.9707645869645662	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
D023.bin.35.fa	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	35.25	11	0.8285548593652422	N/A
D023.bin.36.fa	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	61.89	11	0.8612072723026316	N/A
D023.bin.37.fa	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA2999;g__2-02-FULL-65-29;s__	N/A	N/A	N/A	N/A	N/A	GCA_001767435.1	95.0	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA2999;g__2-02-FULL-65-29;s__2-02-FULL-65-29 sp001767435	76.79	0.16	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA2999;g__2-02-FULL-65-29;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	68.37	11	0.8732937063947152	Genome has more than 18.3% of markers with multiple hits
D023.bin.38.fa	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__SbA1;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__SbA1;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	48.25	11	0.9075306836170418	N/A
D023.bin.39.fa	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_003134505.1	95.0	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__PALSA-612;s__PALSA-612 sp003134505	76.61	0.24	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	20.95	11	0.8412023278843229	N/A
D023.bin.4.fa	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	68.15	11	0.6217187284147666	N/A
